SKU,Name,StockingUnit,StockOnHand,Avg Unit Cost,Avg Unit Cost Incl.,Total SKU Value,Totak SKU Value Incl
INVIKBA,SUNLIGHT POWDER YELLOW 500GMS(12PCS),DOZEN,2,1268.5,1475,2537,2950
INV2RDY,SUNLIGHT SATCHET 90G PINK (12PCS),DOZEN,104,232.2,270,24148.8,28080
INV6TMR,SUNLIGHT SATCHET 90G YELLOW (12PCS),DOZEN,113,232.2,270,26238.6,30510
INVSGS3,TOSS BLUE PACK 20G (DZN),DOZEN,23,40.42,47,929.66,1081
INVP4UF,TOSS LAVENDER 500G,CARTON,1,1393.2,1620,1393.2,1620
INV39ZH,VALON PERFUMED 100G,DOZEN,1,808.4,940,808.4,940
INVHLYV,VASELINE 100G(12pcs),OUTER,2,860,1000,1720,2000
INVTJCN,VASELINE 25G(12pcs),OUTER,1,206.4,240,206.4,240
INVDX3A,WHITEWASH 200G ANTISEPTIC,DOZEN,1,223.6,260,223.6,260
INVWXEW,ZESTA ICING SUGAR 500G BAGS,PACKET,5,75.68,88,378.4,440
